SL,Branch Code,Branch Name,Latitude,Longitude
1,209002,Attrai,24.6062431,88.9808643
2,209004,Bhabanipur,24.6382592,88.9454592
3,209028,Khajura,24.269781,89.225325
4,209031,Noldanga,24.5020983,88.9557405
5,209032,Somospara,24.5407683,89.1844401
6,209013,Betgari,24.7300096,88.4998144
7,209005,Bandaikhara,24.6864126,88.878479
8,209003,Raninagar,24.7463936,88.9716736
9,209023,Fatepur,24.6755068,88.8092582
10,209025,Hatgangopara,24.6022144,88.6636544
11,209011,Adamdighi,24.8230929,89.0398358
12,209014,Tilokpur,24.8784032,89.000568
13,209010,Saharpokur,24.8415852,89.1022027
14,209007,Abadpokur,23.7691737,90.1354586
15,209027,Hatkoroi,24.6841344,89.21088
16,209001,Naogaon Sadar,24.8234189,88.9324135
17,209018,Santahar,24.7989125,88.9527485
18,209012,Shoilgachi,24.7922688,88.9520128
19,209008,Hapania,24.8643584,88.8799232
20,209026,Katkhoir,24.8086528,88.948736
21,209019,Paharpur,25.018368,88.997888
22,209009,Badalgachi,24.9608151,88.9116534
23,209016,Nazipur,24.7999707,88.9940276
24,209006,Kirtipur,24.8766046,88.9222183
25,209037,Akkelpur,24.9684622,89.0262875
26,209038,Khetlal,25.0380091,89.1086477
27,209039,Chanpara,25.1920384,89.1486208
28,209040,Kichok,25.0603888,89.2734366
29,209041,Rajabirat,25.159675,89.2568087
30,209021,Sapahar,25.1253751,88.5940306
31,209024,Shishahat,24.9921536,88.5981184
32,209034,Agradigun,25.1559936,88.686592
33,209030,Dighirhat,25.0937344,88.4932608
34,209033,Rajbari,24.816254,88.3899531
35,209035,Tanore (Dorgadanga),24.5891072,88.571904
36,209022,Chawbaria,24.7267328,88.6145024
37,209036,Nachol,24.9069568,91.881472
38,209017,Mohadebpur,24.9197919,88.751805
39,209020,Chatra,24.8741888,88.6341632
40,209015,Cheragpur,24.7591735,88.7036731
41,209029,Sibpur,24.3746497,88.6003665
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
