S.L,Position,Allowance,Rate,Grade,Step-0,Step-1,Step-2,Step-3,Step-4,Step-5,Step-6,Step-7,Step-8,Step-9,Step-10
1,Executive Director,Basic,7%,i," 76,000 "," 81,320 "," 87,012 "," 93,103 "," 99,620 "," 106,594 "," 114,056 "," 122,039 "," 130,582 "," 139,723 "," 149,504 "
,,HR,70%,," 53,200 "," 56,924 "," 60,909 "," 65,172 "," 69,734 "," 74,616 "," 79,839 "," 85,428 "," 91,408 "," 97,806 "," 104,652 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 26,600 "," 28,462 "," 30,454 "," 32,586 "," 34,867 "," 37,308 "," 39,919 "," 42,714 "," 45,704 "," 48,903 "," 52,326 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 162,800 "," 173,706 "," 185,375 "," 197,862 "," 211,222 "," 225,518 "," 240,814 "," 257,181 "," 274,693 "," 293,432 "," 313,482 "
,PF & SWF Deduction,,,," 7,700 "," 8,232 "," 8,801 "," 9,410 "," 10,062 "," 10,759 "," 11,506 "," 12,304 "," 13,158 "," 14,072 "," 15,050 "
,Net Salary,,,," 155,100 "," 165,474 "," 176,574 "," 188,451 "," 201,160 "," 214,758 "," 229,308 "," 244,877 "," 261,535 "," 279,360 "," 298,432 "
,PF Contribution (Organization),,,," 7,600 "," 8,132 "," 8,701 "," 9,310 "," 9,962 "," 10,659 "," 11,406 "," 12,204 "," 13,058 "," 13,972 "," 14,950 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 171,960 "," 183,398 "," 195,637 "," 208,732 "," 222,744 "," 237,737 "," 253,779 "," 270,945 "," 289,312 "," 308,964 "," 329,993 "
2,Deputy Executive Director,Basic,7%,ii," 72,000 "," 77,040 "," 82,433 "," 88,203 "," 94,377 "," 100,984 "," 108,053 "," 115,616 "," 123,709 "," 132,369 "," 141,635 "
,,HR,70%,," 50,400 "," 53,928 "," 57,703 "," 61,742 "," 66,064 "," 70,689 "," 75,637 "," 80,931 "," 86,597 "," 92,658 "," 99,144 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 25,200 "," 26,964 "," 28,851 "," 30,871 "," 33,032 "," 35,344 "," 37,818 "," 40,466 "," 43,298 "," 46,329 "," 49,572 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 154,600 "," 164,932 "," 175,987 "," 187,816 "," 200,473 "," 214,017 "," 228,508 "," 244,013 "," 260,604 "," 278,357 "," 297,352 "
,PF & SWF Deduction,,,," 7,300 "," 7,804 "," 8,343 "," 8,920 "," 9,538 "," 10,198 "," 10,905 "," 11,662 "," 12,471 "," 13,337 "," 14,263 "
,Net Salary,,,," 147,300 "," 157,128 "," 167,644 "," 178,896 "," 190,936 "," 203,818 "," 217,603 "," 232,352 "," 248,133 "," 265,020 "," 283,088 "
